,GPT,GPT-Replace-400-2,GPT-Replace-400-4,GPT-Replace-400-6,GPT-Replace-400-10,GPT-Replace-400-20,GPT-Replace-400-40
0,0.39666666666666667,0.3866666666666666,0.4,0.4133333333333333,0.41000000000000003,0.4133333333333334,0.4166666666666667
1,0.3633333333333333,0.37666666666666665,0.37333333333333335,0.38,0.34,0.38666666666666666,0.37000000000000005
2,0.4033333333333333,0.38,0.40333333333333343,0.39,0.4,0.38666666666666666,0.39666666666666667
3,0.3966666666666666,0.3833333333333333,0.4066666666666666,0.4000000000000001,0.38666666666666666,0.39333333333333337,0.4033333333333333
4,0.38,0.36,0.35333333333333333,0.38333333333333336,0.37666666666666665,0.35666666666666663,0.3933333333333333
5,0.4066666666666666,0.3933333333333333,0.39666666666666667,0.3966666666666666,0.4000000000000001,0.38999999999999996,0.3866666666666666
6,0.3733333333333333,0.39,0.41666666666666663,0.38333333333333336,0.3966666666666666,0.3766666666666666,0.36999999999999994
7,0.4333333333333333,0.44000000000000006,0.43666666666666665,0.4133333333333334,0.4133333333333333,0.44333333333333336,0.41
8,0.44000000000000006,0.4333333333333333,0.4166666666666667,0.46333333333333326,0.4566666666666667,0.42000000000000004,0.45666666666666667
9,0.42333333333333334,0.42333333333333323,0.42666666666666664,0.43,0.41,0.39,0.42000000000000004
10,0.42666666666666675,0.42666666666666675,0.42333333333333334,0.41666666666666663,0.4166666666666667,0.4133333333333333,0.42333333333333334
11,0.4066666666666666,0.38333333333333325,0.4166666666666667,0.4133333333333334,0.4,0.4133333333333333,0.39999999999999997
12,0.4333333333333334,0.41,0.42666666666666664,0.42666666666666664,0.42333333333333334,0.4066666666666666,0.4066666666666666
13,0.3833333333333334,0.3966666666666666,0.39,0.39,0.4,0.4033333333333333,0.37666666666666665
14,0.42666666666666664,0.41666666666666663,0.42333333333333334,0.43000000000000005,0.42333333333333334,0.4333333333333333,0.44000000000000006
15,0.4133333333333334,0.44000000000000006,0.45,0.44000000000000006,0.42666666666666664,0.43,0.4533333333333333
16,0.4166666666666667,0.43,0.44333333333333325,0.43,0.4333333333333333,0.4333333333333333,0.44333333333333336
17,0.4633333333333334,0.43999999999999995,0.4633333333333334,0.47000000000000003,0.44666666666666666,0.41000000000000003,0.45000000000000007
18,0.46333333333333326,0.45666666666666667,0.4333333333333333,0.45999999999999996,0.47666666666666674,0.4666666666666667,0.44333333333333336
19,0.47000000000000003,0.4533333333333333,0.4566666666666667,0.45333333333333325,0.45333333333333325,0.46333333333333326,0.45666666666666667
20,0.45,0.42333333333333323,0.44333333333333336,0.4533333333333333,0.43666666666666665,0.4499999999999999,0.4533333333333333
21,0.4833333333333333,0.47000000000000003,0.4533333333333333,0.4666666666666666,0.45666666666666667,0.48,0.4766666666666667
22,0.4766666666666667,0.44666666666666666,0.45666666666666667,0.45666666666666667,0.45666666666666667,0.4666666666666667,0.47333333333333333
23,0.4366666666666667,0.45333333333333325,0.4533333333333333,0.4766666666666667,0.44666666666666666,0.44333333333333325,0.44666666666666666
24,0.45666666666666667,0.48,0.4533333333333333,0.4600000000000001,0.43,0.45,0.4466666666666666
25,0.4666666666666666,0.47000000000000003,0.42666666666666675,0.4766666666666667,0.4666666666666667,0.47000000000000003,0.4366666666666667
26,0.43,0.43999999999999995,0.42333333333333334,0.4166666666666667,0.41666666666666663,0.41,0.43666666666666665
27,0.44000000000000006,0.4533333333333334,0.42666666666666675,0.4333333333333334,0.44666666666666677,0.42666666666666664,0.45000000000000007
28,0.4366666666666667,0.44333333333333347,0.44000000000000006,0.4133333333333333,0.43666666666666665,0.4333333333333333,0.44666666666666666
29,0.47333333333333333,0.47333333333333333,0.45,0.4666666666666666,0.45666666666666667,0.4666666666666667,0.47333333333333333
30,0.47000000000000003,0.45666666666666667,0.4533333333333333,0.47333333333333333,0.45999999999999996,0.45666666666666667,0.47000000000000003
31,0.4533333333333333,0.4533333333333334,0.4633333333333334,0.4800000000000001,0.45333333333333325,0.47333333333333333,0.4600000000000001
32,0.4533333333333333,0.45000000000000007,0.4800000000000001,0.47000000000000003,0.47000000000000003,0.4833333333333333,0.47333333333333344
33,0.45,0.45999999999999996,0.45999999999999996,0.44000000000000006,0.4533333333333334,0.4533333333333334,0.4766666666666667
34,0.4800000000000001,0.44000000000000006,0.47333333333333344,0.4699999999999999,0.4666666666666666,0.47000000000000003,0.45666666666666667
35,0.47000000000000003,0.4633333333333334,0.4666666666666667,0.4533333333333334,0.45999999999999996,0.47333333333333344,0.47333333333333333
36,0.49000000000000005,0.4666666666666667,0.46333333333333326,0.4766666666666667,0.45666666666666667,0.47000000000000003,0.48
37,0.4666666666666667,0.45666666666666667,0.4766666666666667,0.4600000000000001,0.46333333333333326,0.4666666666666666,0.5
38,0.44666666666666677,0.4533333333333333,0.43999999999999995,0.4566666666666667,0.4666666666666667,0.4533333333333333,0.48666666666666664
39,0.4533333333333333,0.4333333333333334,0.45,0.45999999999999985,0.43000000000000005,0.4166666666666667,0.4366666666666667
40,0.49333333333333335,0.4833333333333334,0.47333333333333344,0.4833333333333334,0.4600000000000001,0.4633333333333334,0.49000000000000005
41,0.4533333333333333,0.4833333333333334,0.4833333333333334,0.4666666666666667,0.47333333333333333,0.4833333333333333,0.4833333333333333
42,0.4766666666666667,0.5033333333333332,0.4933333333333333,0.4699999999999999,0.49000000000000005,0.45666666666666667,0.4800000000000001
