ID_question,0,1,2,3,4,5,6,7,8,9
32214,70,70,80,80,80,80,70,70,70,75
32215,20,20,20,30,20,20,20,30,30,20
32216,0,20,0,0,0,0,0,0,20,20
32217,30,0,0,0,0,0,0,0,80,0
32218,30,10,30,25,20,20,25,20,20,20
32219,20,20,20,10,20,10,20,20,20,20
32220,30,30,30,30,20,30,30,30,30,30
32221,20,0,0,20,30,0,20,20,0,0
32222,70,60,70,70,85,80,100,70,80,75
32223,100,80,100,100,100,80,100,100,100,100
32224,0,0,20,10,20,20,20,10,0,20
32225,70,70,80,70,60,80,90,60,35,30
32226,50,70,80,75,80,80,75,80,100,70
32227,30,30,30,30,40,40,30,30,20,40
32228,10,10,0,10,0,10,10,10,0,10
32229,20,30,30,30,35,40,20,30,30,20
32230,100,100,85,100,100,100,100,100,100,100
32231,0,15,0,0,0,10,0,0,0,0
32232,20,10,20,15,10,20,30,10,10,10
32233,0,35,40,0,30,30,50,0,0,0
32234,0,10,0,0,0,0,0,0,0,0
32235,70,50,50,50,50,70,50,50,50,50
32236,85,90,90,100,100,85,100,85,100,100
32237,100,100,100,100,100,100,100,100,100,100
32238,0,0,0,0,0,0,0,0,0,0
32239,20,35,20,30,30,25,20,20,30,30
32240,0,0,0,0,0,20,0,0,10,0
32241,30,20,20,30,30,25,30,30,20,20
32242,100,100,100,100,100,100,100,100,90,100
32243,75,60,65,75,70,70,80,80,80,75
32244,30,0,20,30,30,30,20,40,30,20
32245,100,100,100,100,100,100,100,100,100,100
32246,0,0,15,0,0,0,0,0,0,0
32247,80,80,75,80,70,80,85,80,75,85
32248,20,20,20,20,30,20,25,10,30,20
32249,100,80,85,90,100,80,90,90,100,80
32250,70,100,80,80,80,100,80,80,100,90
32251,20,20,30,30,30,30,20,20,20,20
32252,25,30,15,20,20,20,30,20,30,10
32253,100,70,20,70,75,100,100,70,30,60
32254,20,20,30,20,30,50,30,30,45,30
32255,30,30,20,30,40,50,30,20,15,40
32256,30,50,30,20,30,35,30,30,40,30
32257,30,30,30,30,30,30,30,30,30,30
32258,80,60,100,80,90,100,80,90,100,100
32259,20,20,20,30,20,30,20,30,20,10
32260,30,30,20,30,20,30,30,20,30,30
32261,80,70,100,80,100,100,80,100,75,100
32262,0,0,0,0,0,0,0,0,0,0
32263,100,100,100,100,90,100,100,100,100,100
32264,100,100,100,100,100,100,80,100,80,80
32265,25,30,30,20,20,20,20,30,20,30
32266,0,0,0,0,0,0,0,0,0,0
32267,20,20,20,30,20,20,20,20,20,30
32268,80,85,80,85,70,80,80,80,80,80
32269,30,30,20,20,30,20,20,20,30,30
32270,80,80,80,100,80,70,80,80,80,80
32271,50,35,30,40,20,25,20,30,25,20
32272,90,80,90,90,85,80,80,80,80,85
32273,85,90,70,85,90,85,90,85,100,70
32274,80,80,80,80,60,70,80,50,70,80
32275,90,90,90,90,90,95,85,90,90,85
32276,20,20,15,20,20,15,20,10,20,20
32277,60,80,80,70,80,80,80,60,80,70
32278,50,50,50,50,70,50,65,50,50,50
32279,70,70,70,75,70,60,75,80,70,70
32280,30,30,30,20,30,30,20,30,30,30
32281,30,30,25,30,30,30,30,30,30,30
32282,40,30,50,30,45,30,30,20,30,20
32283,100,80,100,80,70,100,80,75,60,100
32284,30,30,30,30,30,30,30,30,20,30
32285,70,75,80,70,85,70,80,80,70,70
32286,80,80,80,100,80,100,80,85,100,80
32287,70,80,80,80,80,80,80,100,80,80
32288,10,20,20,20,20,20,20,20,20,20
