ID_question,0,1,2,3,4,5,6,7,8,9
32214,85,100.0,75.0,80.0,70.0,80,,70,60,85.0
32215,20,40.0,30.0,30.0,20.0,25,0.0,20,30,45.0
32216,25,20.0,80.0,75.0,0.0,15,20.0,50,20,0.0
32217,25,25.0,65.0,10.0,0.0,100,0.0,0,0,45.0
32218,15,15.0,20.0,23.0,15.0,30,20.0,15,20,10.0
32219,10,20.0,20.0,20.0,10.0,20,20.0,30,20,20.0
32220,35,30.0,0.0,60.0,45.0,15,30.0,50,25,20.0
32221,30,20.0,25.0,0.0,0.0,20,0.0,15,15,0.0
32222,50,50.0,60.0,70.0,75.0,70,56.0,60,70,70.0
32223,100,100.0,100.0,100.0,100.0,75,100.0,90,80,90.0
32224,20,30.0,0.0,10.0,0.0,0,10.0,10,20,20.0
32225,60,84.0,80.0,30.0,70.0,60,90.0,70,30,40.0
32226,73,20.0,90.0,75.0,75.0,65,80.0,80,80,70.0
32227,30,25.0,40.0,20.0,30.0,38,50.0,20,20,30.0
32228,0,10.0,0.0,15.0,0.0,0,15.0,10,0,10.0
32229,30,35.0,50.0,20.0,25.0,0,75.0,20,30,80.0
32230,100,80.0,100.0,100.0,90.0,85,85.0,90,100,90.0
32231,10,0.0,10.0,20.0,35.0,5,5.0,0,0,30.0
32232,20,20.0,15.0,15.0,15.0,20,10.0,20,15,20.0
32233,0,0.0,45.0,0.0,15.0,0,0.0,35,50,20.0
32234,0,0.0,0.0,0.0,0.0,0,0.0,0,0,10.0
32235,70,40.0,30.0,60.0,65.0,70,45.0,60,50,50.0
32236,100,85.0,80.0,100.0,85.0,90,90.0,90,80,90.0
32237,100,100.0,100.0,,76.0,100,100.0,75,100,80.0
32238,10,0.0,5.0,0.0,0.0,10,5.0,0,0,0.0
32239,20,20.0,20.0,20.0,20.0,25,25.0,20,40,20.0
32240,15,25.0,10.0,0.0,10.0,20,2.0,20,20,25.0
32241,25,30.0,20.0,20.0,,10,30.0,20,20,20.0
32242,100,100.0,90.0,100.0,,100,85.0,100,100,90.0
32243,80,84.0,80.0,80.0,75.0,82,70.0,80,80,70.0
32244,20,30.0,20.0,20.0,50.0,20,25.0,20,30,40.0
32245,100,100.0,100.0,100.0,90.0,100,100.0,100,100,100.0
32246,15,0.0,0.0,10.0,10.0,5,10.0,0,20,0.0
32247,75,75.0,100.0,100.0,80.0,60,70.0,70,60,80.0
32248,25,30.0,35.0,20.0,45.0,10,10.0,10,20,0.0
32249,100,65.0,70.0,70.0,100.0,85,65.0,100,70,
32250,100,85.0,100.0,75.0,80.0,85,65.0,80,85,60.0
32251,20,30.0,20.0,30.0,20.0,0,20.0,50,0,30.0
32252,20,20.0,20.0,10.0,20.0,20,20.0,20,20,20.0
32253,30,100.0,65.0,80.0,75.0,60,75.0,60,45,60.0
32254,30,30.0,10.0,30.0,40.0,40,30.0,30,20,20.0
32255,60,30.0,15.0,25.0,30.0,40,35.0,30,50,35.0
32256,25,45.0,40.0,60.0,55.0,30,30.0,30,30,20.0
32257,20,60.0,30.0,20.0,50.0,50,35.0,35,30,20.0
32258,100,75.0,80.0,70.0,80.0,100,100.0,80,80,85.0
32259,30,15.0,30.0,10.0,10.0,30,20.0,30,30,25.0
32260,30,25.0,25.0,20.0,20.0,30,40.0,25,30,20.0
32261,75,,0.0,70.0,100.0,87,55.0,65,80,40.0
32262,20,25.0,0.0,0.0,20.0,20,0.0,0,20,0.0
32263,100,100.0,100.0,100.0,100.0,100,100.0,100,100,100.0
32264,100,100.0,100.0,100.0,100.0,43,100.0,100,60,80.0
32265,10,30.0,10.0,25.0,30.0,35,30.0,10,25,15.0
32266,0,0.0,2.0,0.0,0.0,0,0.0,0,0,0.0
32267,60,30.0,20.0,30.0,80.0,20,20.0,30,13,20.0
32268,80,85.0,80.0,80.0,80.0,92,75.0,75,80,80.0
32269,30,35.0,30.0,20.0,30.0,20,20.0,20,20,30.0
32270,75,80.0,,80.0,80.0,80,80.0,90,70,75.0
32271,15,10.0,20.0,10.0,80.0,60,0.0,0,15,20.0
32272,80,90.0,75.0,100.0,85.0,80,70.0,85,70,80.0
32273,100,100.0,75.0,80.0,75.0,70,100.0,70,85,80.0
32274,75,85.0,80.0,70.0,62.0,90,70.0,75,30,80.0
32275,90,90.0,80.0,85.0,90.0,90,90.0,90,85,90.0
32276,10,20.0,30.0,15.0,20.0,20,15.0,15,20,20.0
32277,80,80.0,80.0,80.0,80.0,90,80.0,85,80,70.0
32278,40,55.0,60.0,80.0,50.0,80,50.0,65,70,65.0
32279,67,70.0,60.0,70.0,75.0,85,85.0,80,80,80.0
32280,20,30.0,20.0,40.0,35.0,30,30.0,20,30,30.0
32281,20,20.0,30.0,30.0,10.0,25,10.0,20,30,30.0
32282,40,35.0,33.0,25.0,25.0,35,30.0,30,40,45.0
32283,70,85.0,75.0,,70.0,60,80.0,80,65,85.0
32284,30,25.0,25.0,30.0,30.0,25,40.0,30,30,40.0
32285,100,85.0,90.0,65.0,75.0,100,70.0,75,80,
32286,75,85.0,80.0,80.0,80.0,80,90.0,80,80,80.0
32287,80,70.0,85.0,67.0,80.0,80,100.0,90,70,80.0
32288,20,20.0,10.0,30.0,10.0,10,30.0,10,30,20.0
