ID_question,0,1,2,3,4,5,6,7,8,9
32214,50,50.0,50,60.0,63.0,40.0,50.0,45,21,0.0
32215,52,50.0,50,70.0,80.0,35.0,100.0,83,50,75.0
32216,50,50.0,80,50.0,50.0,70.0,,43,100,52.0
32217,0,40.0,67,50.0,50.0,83.0,50.0,80,30,30.0
32218,100,80.0,50,75.0,80.0,65.0,55.0,78,70,50.0
32219,50,92.0,85,,30.0,40.0,60.0,50,50,69.0
32220,65,50.0,75,85.0,55.0,25.0,30.0,60,30,50.0
32221,50,50.0,50,50.0,30.0,60.0,50.0,35,50,70.0
32222,60,70.0,50,20.0,40.0,,100.0,50,100,0.0
32223,50,0.0,50,50.0,100.0,50.0,100.0,80,85,10.0
32224,50,80.0,0,25.0,0.0,15.0,50.0,30,50,0.0
32225,70,81.0,80,50.0,60.0,75.0,50.0,79,100,100.0
32226,50,50.0,55,50.0,,78.0,50.0,80,50,80.0
32227,80,50.0,43,80.0,90.0,45.0,50.0,85,63,92.0
32228,95,55.0,50,90.0,20.0,75.0,50.0,67,40,50.0
32229,90,100.0,50,63.0,65.0,50.0,82.0,50,50,78.0
32230,60,75.0,50,30.0,50.0,60.0,40.0,50,45,75.0
32231,85,50.0,50,100.0,60.0,70.0,70.0,50,100,30.0
32232,90,50.0,75,50.0,55.0,45.0,35.0,46,50,100.0
32233,100,100.0,50,68.0,100.0,60.0,78.0,100,80,50.0
32234,50,100.0,50,50.0,74.0,87.0,60.0,70,60,75.0
32235,100,100.0,100,100.0,100.0,100.0,100.0,100,100,100.0
32236,50,85.0,50,50.0,60.0,50.0,50.0,50,50,50.0
32237,50,80.0,45,50.0,80.0,100.0,100.0,50,100,50.0
32238,57,50.0,0,75.0,84.0,0.0,50.0,50,50,55.0
32239,70,60.0,73,40.0,50.0,40.0,50.0,80,77,50.0
32240,100,65.0,50,50.0,50.0,50.0,65.0,50,50,50.0
32241,60,38.0,68,80.0,50.0,50.0,50.0,50,46,50.0
32242,80,60.0,100,100.0,70.0,80.0,98.0,100,50,50.0
32243,50,50.0,30,15.0,50.0,25.0,50.0,50,72,50.0
32244,50,100.0,50,50.0,50.0,50.0,0.0,50,70,50.0
32245,100,82.0,50,50.0,55.0,30.0,87.0,60,50,70.0
32246,50,50.0,50,50.0,40.0,50.0,68.0,70,88,80.0
32247,87,50.0,90,50.0,50.0,50.0,100.0,60,80,61.0
32248,75,50.0,0,35.0,30.0,40.0,30.0,50,30,34.0
32249,59,50.0,50,50.0,50.0,50.0,82.0,30,75,50.0
32250,100,100.0,75,100.0,100.0,90.0,100.0,100,100,100.0
32251,50,50.0,0,50.0,50.0,50.0,100.0,0,50,90.0
32252,42,50.0,50,50.0,60.0,50.0,45.0,50,94,42.0
32253,100,30.0,100,21.0,95.0,100.0,100.0,85,0,83.0
32254,70,59.0,70,50.0,10.0,78.0,85.0,100,30,72.0
32255,60,70.0,50,30.0,85.0,40.0,78.0,65,75,100.0
32256,70,50.0,100,65.0,65.0,90.0,82.0,70,90,75.0
32257,80,57.0,83,50.0,85.0,65.0,80.0,75,69,60.0
32258,100,48.0,100,67.0,100.0,100.0,85.0,77,45,100.0
32259,85,25.0,70,70.0,50.0,60.0,70.0,52,45,60.0
32260,100,50.0,53,40.0,65.0,50.0,50.0,50,100,65.0
32261,70,70.0,80,47.0,80.0,100.0,70.0,70,53,75.0
32262,50,53.0,50,50.0,67.0,50.0,50.0,50,50,50.0
32263,100,100.0,0,100.0,80.0,100.0,100.0,100,100,100.0
32264,50,50.0,55,50.0,50.0,0.0,0.0,0,30,50.0
32265,50,50.0,45,60.0,50.0,50.0,85.0,50,50,0.0
32266,0,0.0,0,0.0,0.0,0.0,0.0,0,0,10.0
32267,51,50.0,85,80.0,50.0,50.0,50.0,72,75,70.0
32268,70,30.0,80,60.0,0.0,15.0,50.0,100,30,82.0
32269,35,75.0,50,13.0,43.0,75.0,50.0,70,50,75.0
32270,50,65.0,50,30.0,60.0,75.0,80.0,63,72,30.0
32271,85,50.0,63,50.0,50.0,40.0,100.0,68,70,80.0
32272,50,25.0,50,50.0,62.0,0.0,0.0,50,60,
32273,60,50.0,75,80.0,85.0,60.0,65.0,70,80,70.0
32274,0,70.0,40,25.0,50.0,70.0,0.0,50,50,80.0
32275,85,50.0,60,85.0,85.0,45.0,75.0,80,85,85.0
32276,20,40.0,0,20.0,50.0,0.0,0.0,25,50,0.0
32277,50,50.0,50,40.0,50.0,50.0,50.0,40,50,50.0
32278,80,92.0,65,80.0,65.0,75.0,75.0,80,70,60.0
32279,10,25.0,25,10.0,30.0,30.0,25.0,30,20,20.0
32280,80,70.0,75,90.0,75.0,70.0,79.0,70,70,70.0
32281,90,,0,50.0,70.0,90.0,50.0,88,0,87.0
32282,50,50.0,50,50.0,55.0,50.0,50.0,60,50,79.0
32283,78,100.0,50,50.0,,40.0,50.0,50,50,70.0
32284,50,85.0,100,50.0,50.0,50.0,69.0,85,50,20.0
32285,80,50.0,50,58.0,70.0,50.0,10.0,50,30,50.0
32286,45,90.0,50,28.0,50.0,80.0,50.0,50,50,50.0
32287,70,50.0,50,50.0,66.0,50.0,48.0,26,35,50.0
32288,50,50.0,80,85.0,50.0,30.0,46.0,50,40,45.0
