ID_question,0,1,2,3,4,5,6,7,8,9
32214,50.0,65.0,63.0,55.0,50.0,52.0,60.0,40.0,50.0,67.0
32215,72.0,50.0,50.0,50.0,58.0,34.0,50.0,60.0,56.0,40.0
32216,50.0,25.0,50.0,50.0,50.0,99.0,53.0,100.0,50.0,60.0
32217,70.0,60.0,0.0,55.0,0.0,0.0,50.0,35.0,20.0,0.0
32218,87.0,51.0,30.0,62.0,67.0,75.0,80.0,60.0,81.0,0.0
32219,84.0,42.0,,20.0,50.0,20.0,44.0,60.0,50.0,50.0
32220,0.0,0.0,50.0,30.0,50.0,57.0,50.0,69.0,60.0,46.0
32221,50.0,50.0,50.0,49.0,78.0,90.0,10.0,85.0,50.0,50.0
32222,70.0,50.0,0.0,30.0,63.0,20.0,70.0,50.0,45.0,50.0
32223,70.0,85.0,100.0,74.0,70.0,85.0,85.0,70.0,100.0,100.0
32224,10.0,50.0,0.0,9.0,0.0,60.0,20.0,50.0,0.0,80.0
32225,67.0,100.0,,50.0,95.0,100.0,45.0,80.0,85.0,92.0
32226,20.0,43.0,35.0,70.0,50.0,10.0,70.0,,55.0,100.0
32227,50.0,90.0,100.0,90.0,83.0,100.0,100.0,80.0,54.0,
32228,50.0,25.0,50.0,60.0,50.0,60.0,50.0,50.0,50.0,250.0
32229,70.0,60.0,50.0,100.0,50.0,70.0,100.0,75.0,50.0,85.0
32230,0.0,70.0,50.0,50.0,50.0,60.0,90.0,85.0,50.0,0.0
32231,42.0,50.0,30.0,87.0,40.0,50.0,75.0,60.0,53.0,70.0
32232,85.0,75.0,50.0,80.0,45.0,29.0,50.0,60.0,84.0,
32233,0.0,50.0,80.0,77.0,,80.0,50.0,60.0,80.0,50.0
32234,50.0,75.0,73.0,100.0,89.0,12.0,94.0,49.0,,50.0
32235,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
32236,75.0,72.0,83.0,76.0,54.0,50.0,50.0,88.0,83.0,63.0
32237,50.0,100.0,75.0,100.0,100.0,79.0,100.0,50.0,100.0,100.0
32238,12.0,0.0,52.0,52.0,70.0,50.0,50.0,100.0,0.0,50.0
32239,50.0,100.0,60.0,60.0,100.0,50.0,,75.0,50.0,50.0
32240,50.0,61.0,70.0,55.0,,0.0,85.0,100.0,41.0,50.0
32241,70.0,60.0,50.0,75.0,80.0,50.0,50.0,50.0,55.0,50.0
32242,100.0,75.0,85.0,74.0,60.0,100.0,100.0,100.0,50.0,100.0
32243,50.0,40.0,40.0,60.0,80.0,70.0,50.0,10.0,50.0,35.0
32244,50.0,0.0,50.0,,0.0,,50.0,100.0,50.0,75.0
32245,100.0,52.0,50.0,75.0,65.0,80.0,93.0,100.0,70.0,70.0
32246,0.0,55.0,80.0,100.0,50.0,0.0,77.0,0.0,70.0,50.0
32247,85.0,,85.0,30.0,63.0,65.0,75.0,70.0,82.0,75.0
32248,35.0,35.0,40.0,40.0,57.0,51.0,65.0,20.0,40.0,35.0
32249,50.0,40.0,50.0,73.0,70.0,28.0,48.0,55.0,93.0,36.0
32250,82.0,100.0,92.0,,70.0,70.0,90.0,100.0,75.0,75.0
32251,48.0,50.0,35.0,70.0,69.0,50.0,80.0,0.0,15.0,50.0
32252,50.0,50.0,0.0,55.0,50.0,0.0,86.0,50.0,50.0,95.0
32253,70.0,85.0,25.0,87.0,82.0,100.0,50.0,85.0,100.0,75.0
32254,75.0,50.0,100.0,54.0,100.0,80.0,39.0,60.0,63.0,63.0
32255,57.0,75.0,0.0,75.0,60.0,50.0,75.0,50.0,60.0,80.0
32256,89.0,70.0,60.0,87.0,100.0,80.0,80.0,60.0,70.0,83.0
32257,87.0,85.0,80.0,44.0,80.0,80.0,,75.0,78.0,87.0
32258,100.0,85.0,45.0,95.0,80.0,65.0,100.0,80.0,60.0,70.0
32259,50.0,50.0,50.0,70.0,20.0,25.0,0.0,80.0,50.0,80.0
32260,30.0,70.0,,47.0,50.0,50.0,48.0,55.0,60.0,50.0
32261,50.0,60.0,82.0,60.0,80.0,50.0,50.0,67.0,85.0,70.0
32262,100.0,0.0,50.0,50.0,45.0,53.0,20.0,90.0,55.0,50.0
32263,72.0,84.0,100.0,85.0,100.0,85.0,100.0,100.0,100.0,100.0
32264,10.0,50.0,0.0,50.0,60.0,50.0,50.0,50.0,50.0,20.0
